날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1910.1.1,108,-5.2,-6.6,0.6
1910.1.2,108,-7.2,-9.4,-4.3
1910.1.3,108,-1.2,-8.2,3.4
1910.1.4,108,3.2,0.4,8
1910.1.5,108,2.5,-0.3,7.5
1910.1.6,108,3.7,-0.3,7.7
1910.1.7,108,3,-0.1,6.8
1910.1.8,108,1.6,0.5,5.7
1910.1.9,108,-0.3,-2,1.9
1910.1.10,108,1.2,-2.8,4.5
1910.1.11,108,3.1,0.1,7.4
1910.1.12,108,1.4,-1.7,5.4
1910.1.13,108,2.4,-1.7,6.9
1910.1.14,108,2.9,-0.3,6.6
1910.1.15,108,-3.1,-6.7,-0.3
1910.1.16,108,-7.8,-9.9,-5.2
1910.1.17,108,-8.5,-11.3,-6
1910.1.18,108,-8,-12.4,-3
1910.1.19,108,-4.5,-10.9,-0.1
1910.1.20,108,1.4,-2.2,4.6
1910.1.21,108,1,0.1,2.8
1910.1.22,108,-0.3,-2.3,1.3
1910.1.23,108,-4.5,-7.2,0.6
1910.1.24,108,-5.9,-10.3,-1.2
1910.1.25,108,-5.4,-10.6,-0.6
1910.1.26,108,-2.3,-7.1,2.8
1910.1.27,108,-0.3,-3.7,3.3
1910.1.28,108,-0.2,-3.7,3.2
1910.1.29,108,-2.1,-4.8,0.1
1910.1.30,108,-15.2,-18.5,-1.6
1910.1.31,108,-15.4,-19.9,-11
1910.2.1,108,-15.3,-17.8,-11.5
1910.2.2,108,-12.8,-19.6,-7.4
1910.2.3,108,-5.1,-8.9,0.6
1910.2.4,108,-8.3,-13.1,-3.4
1910.2.5,108,-4.8,-10.3,1.2
1910.2.6,108,-2.1,-8,3.2
1910.2.7,108,0.8,-2.3,5
1910.2.8,108,-1.6,-5.9,4
1910.2.9,108,-4.1,-8.4,1.3
1910.2.10,108,-8.3,-12.2,-3.7
1910.2.11,108,-7.2,-12,-2
1910.2.12,108,-5.1,-11.8,0.2
1910.2.13,108,-3.2,-6.2,0.9
1910.2.14,108,-3.1,-10.1,2.8
1910.2.15,108,-0.7,-6.7,6
1910.2.16,108,0.3,-2.2,4.3
1910.2.17,108,-0.1,-4,5.4
1910.2.18,108,-1.2,-6.8,5.3
1910.2.19,108,-2,-5.5,2.6
1910.2.20,108,-4.9,-7.3,-1
1910.2.21,108,-4.2,-8.8,1.5
1910.2.22,108,-3.7,-9.8,2.5
1910.2.23,108,-2.2,-8.4,4.4
1910.2.24,108,0.3,-6.8,7.8
1910.2.25,108,3,-0.9,8.3
1910.2.26,108,1.2,-3.4,5.4
1910.2.27,108,-1.4,-6.9,4.3
1910.2.28,108,0.4,-4.8,7.3
1910.3.1,108,-0.2,-6.2,7.1
1910.3.2,108,-0.6,-3.9,3.5
1910.3.3,108,-1.6,-7.3,2.7
1910.3.4,108,-3.7,-6.2,1
1910.3.5,108,-2.9,-8.3,0.9
1910.3.6,108,-3.1,-8.6,2
1910.3.7,108,-1.4,-8,5.4
1910.3.8,108,-0.1,-5.3,5.5
1910.3.9,108,-0.8,-7.4,6.1
1910.3.10,108,0.6,-6.7,8
1910.3.11,108,0.3,-2.7,3.8
1910.3.12,108,-0.2,-5.1,5.7
1910.3.13,108,0.4,-6.4,7.8
1910.3.14,108,5.9,-4.1,14.7
1910.3.15,108,6.6,0.5,10.6
1910.3.16,108,1.7,-1.2,5.5
1910.3.17,108,1.3,-4.3,8.6
1910.3.18,108,1.6,-3.3,7.3
1910.3.19,108,4.8,-1.2,11.6
1910.3.20,108,6.6,2.5,12.3
1910.3.21,108,6.5,0.9,11
1910.3.22,108,6.5,4,10.8
1910.3.23,108,3.9,0.8,8.4
1910.3.24,108,2.9,-3.4,9.1
1910.3.25,108,9.1,4.1,15
1910.3.26,108,7.4,4.5,11.2
1910.3.27,108,7.7,3.1,13
1910.3.28,108,6.2,1.7,11
1910.3.29,108,6.5,2.1,11.4
1910.3.30,108,2.2,-1.1,5.8
1910.3.31,108,1.9,-3.7,7
1910.4.1,108,4.1,-0.3,7.8
1910.4.2,108,5.1,2.7,10.4
1910.4.3,108,4.8,-0.6,11.5
1910.4.4,108,4.8,-0.5,11
1910.4.5,108,5.5,-1.2,13.2
1910.4.6,108,7.6,-1.4,16.9
1910.4.7,108,10.2,2.8,17.3
1910.4.8,108,11,7.5,16.5
1910.4.9,108,10.6,6.7,17
1910.4.10,108,9.1,4.8,14.2
1910.4.11,108,9.4,1.9,16.7
1910.4.12,108,8,0.5,16
1910.4.13,108,8.5,2.7,15.3
1910.4.14,108,2,-0.2,7.3
1910.4.15,108,8.1,-1.8,17.3
1910.4.16,108,13.8,5.6,23
1910.4.17,108,16.1,10.4,22.3
1910.4.18,108,12.6,10,17.9
1910.4.19,108,13.8,6,22.2
1910.4.20,108,15.4,9.2,22.1
1910.4.21,108,11.1,9.6,14.5
1910.4.22,108,12.9,7.5,19.8
1910.4.23,108,14.7,7.8,22.7
1910.4.24,108,10.8,9.3,14.1
1910.4.25,108,11.3,7.3,17
1910.4.26,108,10.5,3.7,17.7
1910.4.27,108,13.1,4.3,20.7
1910.4.28,108,12.8,7.7,18.7
1910.4.29,108,8.3,3,15.3
1910.4.30,108,10.6,2.9,19.1
1910.5.1,108,14.4,8.4,19.1
1910.5.2,108,13.9,8.4,19.9
1910.5.3,108,14.3,8.4,21.7
1910.5.4,108,11.5,7.8,16.3
1910.5.5,108,14.1,7.5,21.6
1910.5.6,108,15.3,7.1,25.4
1910.5.7,108,14.2,8.7,20.6
1910.5.8,108,15.7,11.4,22
1910.5.9,108,18.4,11.1,26
1910.5.10,108,19.7,14.3,27.4
1910.5.11,108,18.5,12.6,28
1910.5.12,108,16.4,11.4,24.1
1910.5.13,108,14.9,10.9,22.8
1910.5.14,108,14.8,8.7,21.2
1910.5.15,108,17.7,11.6,26.2
1910.5.16,108,15,11.3,21
1910.5.17,108,13,8.5,22
1910.5.18,108,15,10.3,22
1910.5.19,108,13.8,5.9,22.7
1910.5.20,108,15.2,7.4,24.3
1910.5.21,108,16.1,7.9,25.3
1910.5.22,108,16.9,8.7,26.7
1910.5.23,108,17.3,10,26.5
1910.5.24,108,14.5,10.7,20.2
1910.5.25,108,15.9,7.5,25
1910.5.26,108,18.3,10.5,27.5
1910.5.27,108,19.9,13.5,29.1
1910.5.28,108,21.3,12,31
1910.5.29,108,19.4,13.3,28.9
1910.5.30,108,19.4,13.9,27.2
1910.5.31,108,21.8,13.7,30.6
1910.6.1,108,18.9,15.6,23.5
1910.6.2,108,18.3,14.8,24.3
1910.6.3,108,16.9,14.4,20.5
