지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
108,서울,Jan.92,-0.2,3.4,7.6,1992.1.28,-3.4,-9.1,1992.1.19
108,서울,Feb.92,0.7,5,15.9,1992.2.28,-3.3,-7.8,1992.2.8
108,서울,Mar.92,7.6,12.2,20.2,1992.3.27,3.5,-1.5,1992.3.7
108,서울,Apr.92,12,17.5,24.3,1992.4.9,7.1,1.5,1992.4.12
108,서울,May.92,16.4,21.9,29.9,1992.5.30,11.7,7.1,1992.5.1
108,서울,Jun.92,20.9,26,29.8,1992.6.27,16.4,10.8,1992.6.8
108,서울,Jul.92,24.8,28.4,32.4,1992.7.6,22,19.1,1992.7.3
108,서울,Aug.92,24.8,28.9,32.8,1992.8.29,21.4,18.4,1992.8.15
108,서울,Sep.92,20.9,25.1,30.9,1992.9.5,16.9,9.3,1992.9.27
108,서울,Oct.92,14,18.9,25.1,1992.10.1,9.7,4,1992.10.26
108,서울,Nov.92,6.2,10.8,17.2,1992.11.7,2.1,-9,1992.11.27
108,서울,Dec.92,1.5,5.1,13.3,1992.12.5,-2,-9.7,1992.12.23
108,서울,Jan.93,-1.9,1.9,8.4,1993.1.24,-5.5,-11.1,1993.1.19
108,서울,Feb.93,1,5.3,14.2,1993.2.6,-2.9,-8.6,1993.2.24
108,서울,Mar.93,5.8,10.5,16.6,1993.3.27,1.9,-6.2,1993.3.2
108,서울,Apr.93,10.6,15.8,23.5,1993.4.21,6.3,-0.3,1993.4.9
108,서울,May.93,18.2,23.8,31.9,1993.5.29,13.3,9.4,1993.5.2
108,서울,Jun.93,21.3,25.8,29.2,1993.6.26,17.8,13.4,1993.6.2
108,서울,Jul.93,23.3,27.6,31.1,1993.7.7,19.8,16.2,1993.7.21
108,서울,Aug.93,23.2,27.5,30.6,1993.8.12,19.8,16.3,1993.8.30
108,서울,Sep.93,21.2,26.3,30.5,1993.9.1,16.9,10.8,1993.9.30
108,서울,Oct.93,13.4,19.3,25,1993.10.8,8.3,0.6,1993.10.31
108,서울,Nov.93,8.5,12.5,20.9,1993.11.11,5.2,-9,1993.11.24
108,서울,Dec.93,-0.2,3.8,10,1993.12.25,-3.8,-11.2,1993.12.15
108,서울,Jan.94,-0.9,3.1,10,1994.1.9,-4.7,-12.3,1994.1.19
108,서울,Feb.94,0.8,5.8,11.4,1994.2.19,-3.2,-10.8,1994.2.10
108,서울,Mar.94,4,8.9,18.6,1994.3.31,-0.1,-5.5,1994.3.1
108,서울,Apr.94,15.2,21.4,28.9,1994.4.6,10,5.7,1994.4.14
108,서울,May.94,17.9,23.1,28,1994.5.23,13.4,8.3,1994.5.5
108,서울,Jun.94,22.8,28.2,34.7,1994.6.17,18.1,13.4,1994.6.20
108,서울,Jul.94,28.5,32.6,38.4,1994.7.24,25.3,21.3,1994.7.2
108,서울,Aug.94,27.6,31.9,37,1994.8.9,24.4,19,1994.8.22
108,서울,Sep.94,21,26.1,32,1994.9.4,16.7,12.1,1994.9.25
108,서울,Oct.94,15.2,20.3,25.9,1994.10.9,11.3,3.2,1994.10.31
108,서울,Nov.94,9.3,13.6,19.8,1994.11.6,5.4,-2.2,1994.11.27
108,서울,Dec.94,1.1,4.7,12.4,1994.12.1,-2.4,-12.6,1994.12.16
108,서울,Jan.95,-2.1,1.8,10.3,1995.1.8,-5.7,-11.1,1995.1.30
108,서울,Feb.95,1.2,6,9.9,1995.2.11,-2.8,-7.9,1995.2.1
108,서울,Mar.95,6,10.3,17.1,1995.3.15,2.2,-3.6,1995.3.17
108,서울,Apr.95,11.3,16.7,25.2,1995.4.30,6.5,-0.4,1995.4.2
108,서울,May.95,17.1,22.1,29,1995.5.18,12.1,6.3,1995.5.11
108,서울,Jun.95,21.6,26.3,29.6,1995.6.21,17.5,12.1,1995.6.1
108,서울,Jul.95,24.5,27.8,33.6,1995.7.23,21.7,17.7,1995.7.5
108,서울,Aug.95,26,29.2,33.7,1995.8.15,23.4,18.8,1995.8.30
108,서울,Sep.95,20,24.5,28.4,1995.9.1,15.7,10.7,1995.9.28
108,서울,Oct.95,15.5,20.6,25.6,1995.10.13,10.7,4.2,1995.10.31
108,서울,Nov.95,6.2,11.5,18.6,1995.11.6,1.8,-4.3,1995.11.24
108,서울,Dec.95,-1,3,6.9,1995.12.12,-4.4,-10.3,1995.12.30
108,서울,Jan.96,-2.2,2.3,9.8,1996.1.13,-5.6,-10.7,1996.1.4
108,서울,Feb.96,-1.6,3.2,14,1996.2.13,-5.5,-13.8,1996.2.2
108,서울,Mar.96,4.9,9.5,17.5,1996.3.29,1,-3.8,1996.3.12
108,서울,Apr.96,10.2,15.1,23.3,1996.4.27,5.9,-0.9,1996.4.2
