지점번호,지점명,일시,강수량(mm),일최다강수량(mm),일최다강수량일자,1시간최다강수량(mm),1시간최다강수량일자
108,서울,Jan.92,13.6,3.9,1992.1.16,1,1992.1.6
108,서울,Feb.92,46.6,22.5,1992.2.29,,
108,서울,Mar.92,11.2,4.5,1992.3.23,1.8,1992.3.23
108,서울,Apr.92,76.5,23.3,1992.4.18,9.6,1992.4.18
108,서울,May.92,155.5,95.4,1992.5.7,28.8,1992.5.7
108,서울,Jun.92,99.6,56,1992.6.4,20.3,1992.6.4
108,서울,Jul.92,270.1,60.3,1992.7.15,50.9,1992.7.15
108,서울,Aug.92,418.8,153.3,1992.8.27,54.7,1992.8.7
108,서울,Sep.92,168.5,87,1992.9.24,19.1,1992.9.29
108,서울,Oct.92,33.6,9.9,1992.10.29,5.7,1992.10.17
108,서울,Nov.92,89.5,48.8,1992.11.19,8,1992.11.13
108,서울,Dec.92,71.4,21,1992.12.6,,
108,서울,Jan.93,2.2,1,1993.1.17,,
108,서울,Feb.93,69.5,40.7,1993.2.16,,
108,서울,Mar.93,29.2,12.7,1993.3.31,,
108,서울,Apr.93,85.5,22.1,1993.4.28,10.1,1993.4.24
108,서울,May.93,135.7,65.5,1993.5.13,15.5,1993.5.13
108,서울,Jun.93,198.2,76.5,1993.6.2,22,1993.6.13
108,서울,Jul.93,424.4,91.8,1993.7.13,60.2,1993.7.11
108,서울,Aug.93,197.8,36,1993.8.13,13.6,1993.8.21
108,서울,Sep.93,56.1,23.9,1993.9.2,23.8,1993.9.2
108,서울,Oct.93,15.4,8.2,1993.10.22,5.7,1993.10.22
108,서울,Nov.93,66.6,29.5,1993.11.13,5.5,1993.11.13
108,서울,Dec.93,12.1,8.1,1993.12.30,,
108,서울,Jan.94,6.5,2.4,1994.1.6,,
108,서울,Feb.94,14.8,7.4,1994.2.9,,
108,서울,Mar.94,31.7,18.5,1994.3.7,,
108,서울,Apr.94,44.9,43.4,1994.4.12,10.3,1994.4.12
108,서울,May.94,152.4,35.4,1994.5.25,10.2,1994.5.14
108,서울,Jun.94,85,50.6,1994.6.30,12.6,1994.6.30
108,서울,Jul.94,139.5,70.1,1994.7.5,37.6,1994.7.5
108,서울,Aug.94,232.7,76.1,1994.8.10,23,1994.8.25
108,서울,Sep.94,60.7,17.6,1994.9.5,16.9,1994.9.5
108,서울,Oct.94,214.5,79.4,1994.10.12,15.2,1994.10.12
108,서울,Nov.94,49.6,31.8,1994.11.18,,
108,서울,Dec.94,23.5,9.4,1994.12.8,,
108,서울,Jan.95,11.6,4,1995.1.22,,
108,서울,Feb.95,5.2,4.5,1995.2.25,,
108,서울,Mar.95,60.6,21.4,1995.3.16,,
108,서울,Apr.95,44.4,19.7,1995.4.21,5.9,1995.4.21
108,서울,May.95,60.6,30.3,1995.5.20,11.8,1995.5.10
108,서울,Jun.95,70.7,17.5,1995.6.3,14.3,1995.6.21
108,서울,Jul.95,436.1,107.1,1995.7.10,40,1995.7.10
108,서울,Aug.95,786.6,149.2,1995.8.19,54,1995.8.19
108,서울,Sep.95,47.2,16.5,1995.9.2,11,1995.9.2
108,서울,Oct.95,39.3,13.4,1995.10.31,6.3,1995.10.30
108,서울,Nov.95,32.9,9.3,1995.11.19,,
108,서울,Dec.95,3.4,2.2,1995.12.28,,
108,서울,Jan.96,16.3,7.2,1996.1.14,,
108,서울,Feb.96,1,0.6,1996.2.4,,
108,서울,Mar.96,77.9,21.8,1996.3.16,,
108,서울,Apr.96,62,21.7,1996.4.30,6.4,1996.4.17
108,서울,May.96,29.3,12.3,1996.5.8,9.8,1996.5.8
108,서울,Jun.96,249.7,83.2,1996.6.17,14.5,1996.6.17
108,서울,Jul.96,512.8,168.6,1996.7.26,37.1,1996.7.26
108,서울,Aug.96,132.4,33.3,1996.8.13,27.6,1996.8.13
108,서울,Sep.96,11,8.6,1996.9.19,4,1996.9.19
108,서울,Oct.96,90.3,48.9,1996.10.24,20.5,1996.10.24
108,서울,Nov.96,62.9,11.2,1996.11.5,3.8,1996.11.5
108,서울,Dec.96,11,9.8,1996.12.4,,
108,서울,Jan.97,16.8,12,1997.1.1,,
108,서울,Feb.97,39.6,22.2,1997.2.28,,
108,서울,Mar.97,25.3,18.1,1997.3.6,,
108,서울,Apr.97,56.1,22.8,1997.4.2,5.4,1997.4.6
108,서울,May.97,291.3,90.4,1997.5.7,23.5,1997.5.7
108,서울,Jun.97,110,58.9,1997.6.25,20.1,1997.6.25
108,서울,Jul.97,299.6,127.7,1997.7.1,37.6,1997.7.1
108,서울,Aug.97,117.2,53.4,1997.8.4,17.2,1997.8.4
108,서울,Sep.97,76.9,28.7,1997.9.26,21.5,1997.9.2
108,서울,Oct.97,45.5,23.4,1997.10.17,23.4,1997.10.17
108,서울,Nov.97,93.8,28,1997.11.12,10.1,1997.11.12
108,서울,Dec.97,38.1,17.5,1997.12.6,,
108,서울,Jan.98,10.4,3.2,1998.1.1,,
108,서울,Feb.98,32.3,8,1998.2.9,,
108,서울,Mar.98,45.1,38.7,1998.3.19,,
108,서울,Apr.98,120.2,31.8,1998.4.1,17.7,1998.4.22
108,서울,May.98,121.5,76.7,1998.5.2,12.8,1998.5.2
108,서울,Jun.98,234.1,85.7,1998.6.25,15.2,1998.6.30
108,서울,Jul.98,311.8,83,1998.7.2,24.8,1998.7.2
